date,open,high,low,close,volume,value
2000-10-20,13.49,13.55,13.33,13.41,688706,13.41
2000-10-23,13.33,13.40,12.97,13.09,571171,13.09
2000-10-24,13.00,13.17,12.80,13.08,580039,13.08
2000-10-25,13.33,13.67,13.13,13.47,1461539,13.47
2000-10-26,13.50,13.50,13.34,13.43,640288,13.43
2000-10-27,13.42,13.50,13.18,13.26,116766,13.26
2000-10-30,13.42,13.50,13.09,13.34,958692,13.34
2000-10-31,13.88,14.66,13.67,14.37,2138185,14.37
2000-11-01,14.98,15.89,14.67,15.76,2483684,15.76
2000-11-02,15.75,16.50,15.50,16.15,3175941,16.15
2000-11-03,16.33,16.33,15.75,16.21,1450535,16.21
2000-11-06,16.36,16.38,15.76,15.80,763498,15.80
2000-11-07,16.05,16.23,15.67,16.17,1731633,16.17
2000-11-08,16.11,16.25,15.67,15.75,800972,15.75
2000-11-09,15.68,17.01,15.43,16.17,5717198,16.17
2000-11-10,16.06,16.25,15.83,16.13,1144539,16.13
2000-11-13,15.83,16.48,15.63,16.21,1283696,16.21
2000-11-14,16.18,17.33,16.18,17.20,3195044,17.20
2000-11-15,17.92,18.25,17.35,17.88,2136469,17.88
2000-11-16,17.96,17.96,17.06,17.23,1475482,17.23
2000-11-17,16.98,17.75,16.67,17.37,1990568,17.37
2000-11-20,16.94,17.25,16.51,16.75,1046240,16.75
2000-11-21,16.46,16.63,16.17,16.23,1813253,16.23
2000-11-22,16.42,16.45,16.21,16.24,736739,16.24
2000-11-23,16.09,16.29,15.92,16.23,233220,16.23
2000-11-24,16.42,16.62,15.95,16.21,831462,16.21
2000-11-27,16.58,17.00,16.38,16.83,678674,16.83
2000-11-28,16.71,18.63,16.71,18.26,2177807,18.26
2000-11-29,17.25,18.92,17.25,17.45,1935167,17.45
2000-11-30,17.67,18.23,17.50,18.05,876592,18.05
2000-12-01,17.92,18.79,17.67,18.12,2085568,18.12
2000-12-04,18.39,18.67,18.09,18.51,1166990,18.51
2000-12-05,18.83,19.50,18.50,19.29,1263441,19.29
2000-12-06,19.75,19.90,18.92,19.58,2416739,19.58
2000-12-07,19.67,20.33,19.38,19.69,1966222,19.69
2000-12-08,20.12,20.42,19.63,20.30,1144143,20.30
2000-12-11,20.75,21.10,20.42,20.74,1588481,20.74
2000-12-12,21.13,21.13,20.71,20.91,1463447,20.91
2000-12-13,20.83,22.00,20.67,20.91,1611855,20.91
2000-12-14,21.09,21.25,20.42,20.49,2284878,20.49
2000-12-15,20.17,20.33,19.29,19.81,1553790,19.81
2000-12-18,19.50,19.81,18.76,19.59,1687308,19.59
2000-12-19,19.33,21.15,19.26,20.75,3260465,20.75
2000-12-20,21.07,21.30,20.35,20.86,2056133,20.86
2000-12-21,20.67,20.83,20.35,20.68,362184,20.68
2000-12-22,20.67,21.48,20.17,20.58,777183,20.58
2000-12-26,20.18,20.65,17.71,18.36,1342361,18.36
2000-12-27,18.99,19.59,18.50,19.23,879118,19.23
2000-12-28,19.59,19.67,19.10,19.53,463297,19.53
2000-12-29,19.49,20.67,19.37,20.30,936919,20.30
2001-01-01,20.63,20.83,20.23,20.63,712986,20.63
2001-01-02,20.67,20.91,20.35,20.58,1301161,20.58
2001-01-03,20.43,22.23,20.43,21.68,4356712,21.68
2001-01-04,22.15,22.90,21.02,21.19,2126924,21.19
2001-01-05,21.33,21.65,21.00,21.13,1848310,21.13
2001-01-08,21.17,21.89,21.17,21.28,1810811,21.28
2001-01-09,21.18,21.83,21.17,21.60,933163,21.60
2001-01-10,21.73,21.83,21.17,21.30,379847,21.30
2001-01-11,21.67,21.97,20.85,21.17,1424335,21.17
2001-01-12,21.58,23.09,21.50,22.57,10037564,22.57
2001-01-15,22.83,26.19,22.82,24.96,8675422,24.96
2001-01-16,24.99,25.82,24.09,24.28,1700375,24.28
2001-01-17,24.42,24.82,23.35,23.50,996526,23.50
2001-01-18,23.96,24.49,23.52,23.55,1918050,23.55
2001-01-19,23.80,24.92,23.80,24.19,3793412,24.19
2001-01-22,24.17,25.59,24.17,25.12,2603300,25.12
2001-01-23,25.33,25.41,24.63,24.73,1470016,24.73
2001-01-24,25.12,25.96,24.45,25.35,3418209,25.35
2001-01-25,25.42,27.39,24.97,26.69,11551108,26.69
2001-01-29,26.09,26.09,24.56,25.15,3555362,25.15
2001-01-30,25.42,25.99,24.85,25.43,1867941,25.43
2001-01-31,25.52,27.07,25.35,25.80,2494069,25.80
2001-02-01,25.67,25.95,24.06,25.23,2165712,25.23
2001-02-02,25.67,29.12,25.67,28.49,6383363,28.49
2001-02-05,28.75,32.00,28.75,31.76,3526624,31.76
2001-02-06,32.09,32.45,29.17,29.43,5765178,29.43
2001-02-07,30.33,31.65,30.19,31.38,4448226,31.38
2001-02-08,31.01,32.83,30.25,32.38,3780315,32.38
2001-02-09,32.50,33.00,31.67,31.93,2816829,31.93
2001-02-12,32.09,32.50,31.38,31.67,5311618,31.67
2001-02-13,31.83,32.05,29.39,29.82,4658173,29.82
2001-02-14,30.29,30.82,29.67,30.41,2559658,30.41
2001-02-15,30.67,32.00,30.52,31.68,3108667,31.68
2001-02-16,32.00,32.17,31.00,31.25,1692419,31.25
2001-02-19,31.33,33.50,30.58,32.89,3627521,32.89
2001-02-20,33.16,34.92,32.59,34.09,4396934,34.09
2001-02-21,33.84,34.16,31.67,31.99,4177915,31.99
2001-02-22,31.99,32.83,30.02,30.98,4556334,30.98
2001-02-23,31.00,31.83,29.50,29.97,5641440,29.97
2001-02-26,30.12,30.77,28.85,29.15,1369354,29.15
2001-02-27,29.66,29.90,27.05,27.90,2825625,27.90
2001-02-28,28.67,30.49,28.09,29.35,2444566,29.35
2001-03-01,29.65,30.95,29.57,30.59,2606678,30.59
2001-03-02,30.83,35.49,30.83,34.25,6578815,34.25
2001-03-05,34.17,35.06,33.34,34.16,2065481,34.16
2001-03-07,34.42,34.50,31.00,32.99,2017729,32.99
2001-03-08,33.34,34.42,32.50,33.65,984533,33.65
2001-03-09,33.50,33.50,31.67,32.21,1300213,32.21
